,method,seed,modal,mae,cor,f1,acc
53,mmix_01,0,[1&2],0.8544559,0.23271946122279938,0.5778724232909735,0.5839779005524862
54,mmix_10,0,[0&1&2],0.63584447,0.6507966186128227,0.7980150048133319,0.7994475138121547
55,mmix_20,0,[0&1&2],0.63584447,0.6507966186128227,0.7980150048133319,0.7994475138121547
56,mmix_01,0,[0&2],0.8848655,0.09618454896709903,0.7070453827907144,0.6113259668508287
57,mmix_10,0,[0&1],0.905405,-0.08433087072613049,0.6308149930934852,0.574585635359116
58,mmix_20,0,[0&1],0.905405,-0.08433087072613049,0.6308149930934852,0.574585635359116
59,mmix_10,0,[1&2],0.8544559,0.23271946122279938,0.5778724232909735,0.5839779005524862
60,mmix_20,0,[1&2],0.8544559,0.23271946122279938,0.5778724232909735,0.5839779005524862
61,mmix_10,0,[0&2],0.8848655,0.09618454896709903,0.7070453827907144,0.6113259668508287
62,mmix_20,0,[0&2],0.8848655,0.09618454896709903,0.7070453827907144,0.6113259668508287
63,mmix_im_05,1,[0],1.0673754,-0.01690621424302625,0.5774989969805019,0.5588397790055248
64,mmix_im_05,1,[1],1.0531337,-0.0761243701171981,0.43607446363706565,0.40497237569060773
65,mmix_im_05,1,[2],0.8309959,0.22940709463200326,0.638640553183131,0.6348066298342542
66,mmix_im_05,1,[0&1&2],0.86473817,0.06789539762758783,0.5744655827856713,0.5679558011049723
67,mmix_im_05,1,[0&1],0.95574874,-0.04435358911868692,0.4913464083665986,0.4988950276243094
68,mmix_im_05,1,[1&2],0.86727476,0.134978759581919,0.5378957071990896,0.5444751381215469
69,mmix_im_05,1,[0&2],0.8700159,0.12063228056302075,0.6506323601001398,0.6107734806629834
70,mmix_05,1,[0],1.0673754,-0.01690621424302625,0.5774989969805019,0.5588397790055248
71,mmix_05,1,[1],1.0531337,-0.0761243701171981,0.43607446363706565,0.40497237569060773
72,mmix_05,1,[2],0.8309959,0.22940709463200326,0.638640553183131,0.6348066298342542
73,mmix_05,1,[0&1&2],0.6436482,0.6487183501469509,0.8023285488021213,0.7977900552486188
74,mmix_05,1,[0&1],0.95574874,-0.04435358911868692,0.4913464083665986,0.4988950276243094
75,mmix_05,1,[1&2],0.86727476,0.134978759581919,0.5378957071990896,0.5444751381215469
76,mmix_05,1,[0&2],0.8700159,0.12063228056302075,0.6506323601001398,0.6107734806629834
77,mmix_im_01,1,[0],1.0673754,-0.01690621424302625,0.5774989969805019,0.5588397790055248
78,mmix_im_01,1,[1],1.0531337,-0.0761243701171981,0.43607446363706565,0.40497237569060773
79,mmix_im_01,1,[2],0.8309959,0.22940709463200326,0.638640553183131,0.6348066298342542
80,mmix_im_20,1,[0],1.0673754,-0.01690621424302625,0.5774989969805019,0.5588397790055248
81,mmix_im_01,1,[0&1&2],0.86473817,0.06789539762758783,0.5744655827856713,0.5679558011049723
82,mmix_im_10,1,[0],1.0673754,-0.01690621424302625,0.5774989969805019,0.5588397790055248
83,mmix_im_20,1,[1],1.0531337,-0.0761243701171981,0.43607446363706565,0.40497237569060773
84,mmix_im_01,1,[0&1],0.95574874,-0.04435358911868692,0.4913464083665986,0.4988950276243094
85,mmix_im_10,1,[1],1.0531337,-0.0761243701171981,0.43607446363706565,0.40497237569060773
86,mmix_im_20,1,[2],0.8309959,0.22940709463200326,0.638640553183131,0.6348066298342542
87,mmix_im_01,1,[1&2],0.86727476,0.134978759581919,0.5378957071990896,0.5444751381215469
88,mmix_im_10,1,[2],0.8309959,0.22940709463200326,0.638640553183131,0.6348066298342542
89,mmix_im_20,1,[0&1&2],0.86473817,0.06789539762758783,0.5744655827856713,0.5679558011049723
90,mmix_im_01,1,[0&2],0.8700159,0.12063228056302075,0.6506323601001398,0.6107734806629834
91,mmix_im_10,1,[0&1&2],0.86473817,0.06789539762758783,0.5744655827856713,0.5679558011049723
92,mmix_im_20,1,[0&1],0.95574874,-0.04435358911868692,0.4913464083665986,0.4988950276243094
93,mmix_01,1,[0],1.0673754,-0.01690621424302625,0.5774989969805019,0.5588397790055248
94,mmix_im_10,1,[0&1],0.95574874,-0.04435358911868692,0.4913464083665986,0.4988950276243094
95,mmix_im_20,1,[1&2],0.86727476,0.134978759581919,0.5378957071990896,0.5444751381215469
96,mmix_01,1,[1],1.0531337,-0.0761243701171981,0.43607446363706565,0.40497237569060773
97,mmix_im_10,1,[1&2],0.86727476,0.134978759581919,0.5378957071990896,0.5444751381215469
98,mmix_im_20,1,[0&2],0.8700159,0.12063228056302075,0.6506323601001398,0.6107734806629834
99,mmix_01,1,[2],0.8309959,0.22940709463200326,0.638640553183131,0.6348066298342542
100,mmix_im_10,1,[0&2],0.8700159,0.12063228056302075,0.6506323601001398,0.6107734806629834
101,mmix_20,1,[0],1.0673754,-0.01690621424302625,0.5774989969805019,0.5588397790055248
102,mmix_01,1,[0&1&2],0.6436482,0.6487183501469509,0.8023285488021213,0.7977900552486188
103,mmix_10,1,[0],1.0673754,-0.01690621424302625,0.5774989969805019,0.5588397790055248
104,mmix_20,1,[1],1.0531337,-0.0761243701171981,0.43607446363706565,0.40497237569060773
105,mmix_01,1,[0&1],0.95574874,-0.04435358911868692,0.4913464083665986,0.4988950276243094
106,mmix_10,1,[1],1.0531337,-0.0761243701171981,0.43607446363706565,0.40497237569060773
107,mmix_20,1,[2],0.8309959,0.22940709463200326,0.638640553183131,0.6348066298342542
108,mmix_01,1,[1&2],0.86727476,0.134978759581919,0.5378957071990896,0.5444751381215469
109,mmix_10,1,[2],0.8309959,0.22940709463200326,0.638640553183131,0.6348066298342542
110,mmix_01,1,[0&2],0.8700159,0.12063228056302075,0.6506323601001398,0.6107734806629834
111,mmix_20,1,[0&1&2],0.6436482,0.6487183501469509,0.8023285488021213,0.7977900552486188
112,mmix_10,1,[0&1&2],0.6436482,0.6487183501469509,0.8023285488021213,0.7977900552486188
113,mmix_20,1,[0&1],0.95574874,-0.04435358911868692,0.4913464083665986,0.4988950276243094
114,mmix_10,1,[0&1],0.95574874,-0.04435358911868692,0.4913464083665986,0.4988950276243094
115,mmix_20,1,[1&2],0.86727476,0.134978759581919,0.5378957071990896,0.5444751381215469
116,mmix_10,1,[1&2],0.86727476,0.134978759581919,0.5378957071990896,0.5444751381215469
117,mmix_20,1,[0&2],0.8700159,0.12063228056302075,0.6506323601001398,0.6107734806629834
118,mmix_10,1,[0&2],0.8700159,0.12063228056302075,0.6506323601001398,0.6107734806629834
119,mmix_im_05,2,[0],0.970503,-0.0270094553558471,0.6135605430820853,0.5759668508287292
120,mmix_im_05,2,[1],1.1785607,-0.03368641007212798,0.5006973357103888,0.38093922651933704
121,mmix_im_05,2,[2],0.8204471,0.2446694032197594,0.6552886370451692,0.643646408839779
122,mmix_im_05,2,[0&1&2],0.8600791,0.09968787670860317,0.5614791266134253,0.5662983425414365
123,mmix_im_05,2,[0&1],0.9400632,-0.030857217305905064,0.4603866453481929,0.46464088397790054
124,mmix_im_05,2,[1&2],0.9059223,0.15938116164115726,0.5095348973248743,0.4837016574585635
125,mmix_im_05,2,[0&2],0.84812516,0.14113083426100603,0.6791757301981298,0.6215469613259669
126,mmix_05,2,[0],0.970503,-0.0270094553558471,0.6135605430820853,0.5759668508287292
127,mmix_05,2,[1],1.1785607,-0.03368641007212798,0.5006973357103888,0.38093922651933704
128,mmix_05,2,[2],0.8204471,0.2446694032197594,0.6552886370451692,0.643646408839779
129,mmix_05,2,[0&1&2],0.63156116,0.6580110299542014,0.7935338276117481,0.7917127071823205
130,mmix_05,2,[0&1],0.9400632,-0.030857217305905064,0.4603866453481929,0.46464088397790054
131,mmix_05,2,[1&2],0.9059223,0.15938116164115726,0.5095348973248743,0.4837016574585635
132,mmix_05,2,[0&2],0.84812516,0.14113083426100603,0.6791757301981298,0.6215469613259669
133,mmix_im_01,2,[0],0.970503,-0.0270094553558471,0.6135605430820853,0.5759668508287292
134,mmix_im_20,2,[0],0.970503,-0.0270094553558471,0.6135605430820853,0.5759668508287292
135,mmix_im_01,2,[1],1.1785607,-0.03368641007212798,0.5006973357103888,0.38093922651933704
136,mmix_im_20,2,[1],1.1785607,-0.03368641007212798,0.5006973357103888,0.38093922651933704
137,mmix_im_01,2,[2],0.8204471,0.2446694032197594,0.6552886370451692,0.643646408839779
138,mmix_im_20,2,[2],0.8204471,0.2446694032197594,0.6552886370451692,0.643646408839779
139,mmix_im_01,2,[0&1&2],0.8600791,0.09968787670860317,0.5614791266134253,0.5662983425414365
140,mmix_im_10,2,[0],0.970503,-0.0270094553558471,0.6135605430820853,0.5759668508287292
141,mmix_im_20,2,[0&1&2],0.8600791,0.09968787670860317,0.5614791266134253,0.5662983425414365
142,mmix_im_01,2,[0&1],0.9400632,-0.030857217305905064,0.4603866453481929,0.46464088397790054
143,mmix_im_10,2,[1],1.1785607,-0.03368641007212798,0.5006973357103888,0.38093922651933704
144,mmix_im_01,2,[1&2],0.9059223,0.15938116164115726,0.5095348973248743,0.4837016574585635
145,mmix_im_20,2,[0&1],0.9400632,-0.030857217305905064,0.4603866453481929,0.46464088397790054
146,mmix_im_10,2,[2],0.8204471,0.2446694032197594,0.6552886370451692,0.643646408839779
147,mmix_im_01,2,[0&2],0.84812516,0.14113083426100603,0.6791757301981298,0.6215469613259669
148,mmix_im_20,2,[1&2],0.9059223,0.15938116164115726,0.5095348973248743,0.4837016574585635
149,mmix_im_10,2,[0&1&2],0.8600791,0.09968787670860317,0.5614791266134253,0.5662983425414365
150,mmix_01,2,[0],0.970503,-0.0270094553558471,0.6135605430820853,0.5759668508287292
151,mmix_im_20,2,[0&2],0.84812516,0.14113083426100603,0.6791757301981298,0.6215469613259669
152,mmix_im_10,2,[0&1],0.9400632,-0.030857217305905064,0.4603866453481929,0.46464088397790054
153,mmix_01,2,[1],1.1785607,-0.03368641007212798,0.5006973357103888,0.38093922651933704
154,mmix_20,2,[0],0.970503,-0.0270094553558471,0.6135605430820853,0.5759668508287292
155,mmix_im_10,2,[1&2],0.9059223,0.15938116164115726,0.5095348973248743,0.4837016574585635
156,mmix_01,2,[2],0.8204471,0.2446694032197594,0.6552886370451692,0.643646408839779
157,mmix_20,2,[1],1.1785607,-0.03368641007212798,0.5006973357103888,0.38093922651933704
158,mmix_im_10,2,[0&2],0.84812516,0.14113083426100603,0.6791757301981298,0.6215469613259669
159,mmix_01,2,[0&1&2],0.63156116,0.6580110299542014,0.7935338276117481,0.7917127071823205
160,mmix_20,2,[2],0.8204471,0.2446694032197594,0.6552886370451692,0.643646408839779
161,mmix_10,2,[0],0.970503,-0.0270094553558471,0.6135605430820853,0.5759668508287292
162,mmix_01,2,[0&1],0.9400632,-0.030857217305905064,0.4603866453481929,0.46464088397790054
163,mmix_20,2,[0&1&2],0.63156116,0.6580110299542014,0.7935338276117481,0.7917127071823205
164,mmix_10,2,[1],1.1785607,-0.03368641007212798,0.5006973357103888,0.38093922651933704
165,mmix_01,2,[1&2],0.9059223,0.15938116164115726,0.5095348973248743,0.4837016574585635
166,mmix_20,2,[0&1],0.9400632,-0.030857217305905064,0.4603866453481929,0.46464088397790054
167,mmix_01,2,[0&2],0.84812516,0.14113083426100603,0.6791757301981298,0.6215469613259669
168,mmix_10,2,[2],0.8204471,0.2446694032197594,0.6552886370451692,0.643646408839779
169,mmix_20,2,[1&2],0.9059223,0.15938116164115726,0.5095348973248743,0.4837016574585635
170,mmix_10,2,[0&1&2],0.63156116,0.6580110299542014,0.7935338276117481,0.7917127071823205
171,mmix_20,2,[0&2],0.84812516,0.14113083426100603,0.6791757301981298,0.6215469613259669
172,mmix_10,2,[0&1],0.9400632,-0.030857217305905064,0.4603866453481929,0.46464088397790054
173,mmix_10,2,[1&2],0.9059223,0.15938116164115726,0.5095348973248743,0.4837016574585635
174,mmix_10,2,[0&2],0.84812516,0.14113083426100603,0.6791757301981298,0.6215469613259669
