,method,seed,modal,acc
247,gmc_nl_lr5e-4_wd1e-4,0,[2],0.998242199420929
117,gmc_nl_lr1e-3_wd1e-4,0,[0],0.9981445670127869
163,gmc_nl_lr5e-4_wd0.0,0,[2],0.9981445670127869
82,gmc_nl_lr1e-3_wd1e-3,0,[0&2],0.9981445670127869
92,mmix_nl_10_lr1e-3_wd1e-4,0,[0&2],0.998046875
180,mmix_nl_05_lr5e-4_wd1e-3,0,[0&2],0.998046875
177,mmix_nl_10_lr5e-4_wd1e-3,0,[0&2],0.998046875
135,mmix_nl_10_lr5e-4_wd0.0,0,[0&2],0.998046875
304,mmix_nl_05_lr1e-4_wd1e-3,0,[0&2],0.998046875
262,mmix_nl_05_lr1e-4_wd0.0,0,[0&2],0.998046875
347,mmix_nl_10_lr1e-4_wd1e-4,0,[0&2],0.998046875
346,mmix_nl_05_lr1e-4_wd1e-4,0,[0&2],0.998046875
17,mmix_nl_05_lr1e-3_wd0.0,0,[0&2],0.998046875
18,mmix_nl_10_lr1e-3_wd0.0,0,[0&2],0.998046875
22,gmc_nl_lr1e-3_wd0.0,0,[0],0.998046875
305,mmix_nl_10_lr1e-4_wd1e-3,0,[0&2],0.998046875
263,mmix_nl_10_lr1e-4_wd0.0,0,[0&2],0.998046875
98,mmix_nl_05_lr1e-3_wd1e-4,0,[0&2],0.998046875
138,mmix_nl_05_lr5e-4_wd0.0,0,[0&2],0.998046875
55,mmix_nl_10_lr1e-3_wd1e-3,0,[0&2],0.998046875
57,mmix_nl_05_lr1e-3_wd1e-3,0,[0&2],0.998046875
221,mmix_nl_05_lr5e-4_wd1e-4,0,[0&2],0.998046875
220,mmix_nl_10_lr5e-4_wd1e-4,0,[0&2],0.998046875
94,gmc_l_lr1e-3_wd1e-4,0,[0],0.9977653622627258
61,gmc_l_lr1e-3_wd1e-3,0,[0&2],0.997753918170929
2,gmc_l_lr1e-3_wd0.0,0,[2],0.997753918170929
245,gmc_nl_lr5e-4_wd1e-4,0,[0],0.9974609613418579
142,gmc_l_lr5e-4_wd0.0,0,[2],0.9974609613418579
161,gmc_nl_lr5e-4_wd0.0,0,[0],0.9974609613418579
203,gmc_nl_lr5e-4_wd1e-3,0,[0],0.997265636920929
118,mmix_l_05_lr1e-3_wd1e-4,0,[0&2],0.9971794486045837
